Place,Name,Gender,Time
265,Lawrence Merrill,M,2:50:13
266,Karim Bendouma,M,2:50:16
267,Greg Nugent,M,2:50:17
268,Hal Rogers,M,2:50:19
269,Adam Webber,M,2:50:22
270,Paul Stock,M,2:50:24
271,William Collins,M,2:50:27
272,Ryan Topita,M,2:50:29
273,Kevin Hogan,M,2:50:30
274,Benjamin Price,M,2:50:31
275,Oliver Ozsvari,M,2:50:33
276,Adrian Spencer,M,2:50:34
277,Matthew Howard,M,2:50:34
278,Daniel Rivera,M,2:50:46
279,Deyver Mena Mata,M,2:50:46
280,Darren Luft,M,2:50:46
281,Haas Sullivan,M,2:50:47
282,Morgan Lingar,F,2:50:49
283,John Ladesic,M,2:50:50
284,Chris Schmidt,M,2:50:54
285,Dana Scott,F,2:50:57
286,Andrew Holmes,M,2:50:58
287,Waverly Neer,F,2:51:15
288,Martin Wawszkowicz,M,2:51:19
289,Jeremy Bush,M,2:51:20
290,Dmitriy Boyko,M,2:51:22
291,Fergal Byrne,M,2:51:25
292,Neal Sussman,M,2:51:33
293,Ramon Vega,M,2:51:33
294,Lexi Nastos,M,2:51:36
295,Freddy Ruiz,M,2:51:40
296,Nick Knuth,M,2:51:44
297,Brian Justie,M,2:51:46
298,Jean-Philippe Proulx,M,2:51:48
299,Tomas Ferraro,M,2:51:48
300,Michael Voelkel,M,2:51:50
301,Emilien Bouchab,M,2:51:54
302,Andrew Postolovsky,M,2:51:54
303,Ted Wasserman,M,2:51:58
304,Marc Guberti,M,2:51:59
305,Laszlo Danko,M,2:52:00
306,Justin Perkins,M,2:52:04
307,Pete Alfano,M,2:52:07
308,Craig Batchelor,M,2:52:10
309,Nicolas Guzman,M,2:52:13
310,Daniel Elphinston,M,2:52:14
311,Jameson Newman,M,2:52:17
312,Daniela de Aguiar,F,2:52:20
313,Austin Fowler,M,2:52:21
314,Sergey Ulyanenko,M,2:52:24
315,Fernanda Solís Bazaldua,F,2:52:25
316,Niklaus Dietschi,M,2:52:26
317,Alexander Soroken,M,2:52:26
318,Ondrej Blaha,M,2:52:28
319,Derek DeRosa,M,2:52:30
320,Michael Fosco,M,2:52:37
321,Benjamin Fleischman,M,2:52:37
323,Anthony Morales,M,2:52:40
322,Michael Batanian,M,2:52:40
324,Armand Silva,M,2:52:48
325,Stephen Paine,M,2:52:49
326,Krista DuChene,F,2:52:56
327,Robert Mandracchia,M,2:52:57
328,Andrew Pelliccia,M,2:53:03
329,Andrew Senyszyn,M,2:53:05
330,Ryan Watt,M,2:53:07
331,Jordan Reyes,M,2:53:10
332,Angela Moll,F,2:53:12
333,John Stilling,M,2:53:13
334,Yuhui Zheng,M,2:53:14
335,James Emery,M,2:53:14
336,Torsten Schneider,M,2:53:16
337,Rene Spanier,M,2:53:17
338,Anibal Chehayeb,M,2:53:22
339,Thomas Eller,M,2:53:30
340,Dmitry Filippov,M,2:53:30
341,Daniel Spangler,M,2:53:31
342,Sarah Guhl,F,2:53:33
343,Chris Zuerner,M,2:53:36
344,Lukas Sveikata,M,2:53:37
345,Michael Paulin,M,2:53:39
346,Anthony Pena,M,2:53:40
347,Ariel Castro,M,2:53:40
348,Jack Hardy,M,2:53:41
349,James Oh,M,2:53:41
350,Sebastian Manchester,M,2:53:43
351,Allison Goldstein,F,2:53:44
352,Timothy Downey,M,2:53:55
353,Leo Adame,M,2:53:55
354,Jeff Norton,M,2:53:58
355,Rebeka Stowe,F,2:53:58
356,Rama Krishna Pothala,M,2:53:59
357,Justin Rinauro,M,2:54:00
358,Julian Rockwood,M,2:54:00
359,Jason Metakis,M,2:54:01
360,Christie Wetzel,F,2:54:03
361,Brian Woodard,M,2:54:06
362,Jose Hernandez,M,2:54:06
363,Angel Camacho,M,2:54:08
364,Julian Cheung,M,2:54:10
365,Sean Gray,M,2:54:10
366,Patrick Morris,M,2:54:12
367,Simon Tuttle,M,2:54:17
368,Christopher Melleby,M,2:54:17
369,James Dussich,M,2:54:18
370,Carson Albanese,M,2:54:19
371,Victoria Robitaille,F,2:54:20
372,Mario Dimas,M,2:54:21
373,Peter Zoob,M,2:54:21
374,Matthew Funk,M,2:54:21
375,Josef Ziegler,M,2:54:22
376,Ryan Graf,M,2:54:26
377,Ricardo Cortes,M,2:54:27
378,Mingliang Guo,M,2:54:29
379,Delbin Rodriguez,M,2:54:29
380,Michael O'Hara,M,2:54:33
381,Erik Ulin,M,2:54:37
382,Andy Banks,M,2:54:41
383,Gary Frankland,M,2:54:44
384,Mary Johnston,F,2:54:45
385,Ferenc Galgoczy,M,2:54:47
386,Benjamin Saunders,M,2:54:49
387,Tyler Chapman,M,2:54:49
388,Daniel Beam,M,2:54:51
389,Thomas Surgent,M,2:54:51
390,Taylor Becker,M,2:54:52
391,Emma Diehl,F,2:54:52
392,Ryan Moran,M,2:54:57
393,James Lee,M,2:54:57
394,Alysia Dusseau,F,2:55:01
395,Carlos Spallanzani,M,2:55:01
396,Chris Crowley,M,2:55:01
397,Todd Lubin,M,2:55:04
398,Shane Clarke,M,2:55:05
399,John Whelchel,M,2:55:07
400,Sean Watson,M,2:55:08
401,Benjamin Schor,M,2:55:09
402,Kristopher Tong,M,2:55:11
403,Alexander Egan,M,2:55:13
404,Richard Zhu,M,2:55:13
405,Pedro Paulino Pais Abreu,M,2:55:15
406,Marthinus Pretorius,M,2:55:16
407,Bryan Loeffler,M,2:55:17
408,Christopher McFall,M,2:55:17
409,Sin Ty,M,2:55:19
410,Shant Hagopian,M,2:55:20
411,Neil Mac Aogain,M,2:55:20
412,Sam Frizell,M,2:55:25
413,Valentin Marek,M,2:55:31
414,Teresa Escobar,F,2:55:31
415,Margaret McMahon,F,2:55:35
416,Jianhui Shen,M,2:55:35
417,Cristian Demian Miranda,M,2:55:36
418,Daniel Palladino,M,2:55:37
419,Rashaad Forehand,M,2:55:37
420,Bryan Grindrod,M,2:55:39
421,Dave Walters,M,2:55:42
422,Reginald Cross,M,2:55:44
423,Harry Barnes,M,2:55:46
424,Donald Surdoval,M,2:55:47
425,Denis Sweeney,M,2:55:48
426,Marco Fernandez,M,2:55:51
427,James Goswell,M,2:55:53
428,Jesus Nunez,M,2:55:54
429,Lauren Dorsky,F,2:55:54
430,Kevin O'Connell,M,2:55:54
431,Ismael Gonzalez,M,2:55:55
432,Manuel Duenas,M,2:55:55
433,Kirk Jones,M,2:55:55
434,Roger Esteban-Fabró,M,2:55:56
435,Joseph Redmond,M,2:55:58
436,Tallon Scott,M,2:55:59
437,Philip Dumontet,M,2:56:01
438,Jeffrey Huber,M,2:56:03
439,Jing Jiang,M,2:56:04
440,Pratik Gauchan,M,2:56:05
441,Adam Gibbs,M,2:56:05
442,Marcin Kulakowski,M,2:56:09
443,Noah Mccoll,M,2:56:14
444,Daniel Schneider,M,2:56:15
445,Ezra Swell,M,2:56:17
446,Rob Lindsay,M,2:56:17
447,Victoria Siemon,F,2:56:19
448,Beatriz Orzechowski,F,2:56:21
449,Edward Larsen,M,2:56:23
450,Benjamin Adler,M,2:56:24
451,Dan Ubilla,M,2:56:26
452,Emily Goldsmith,F,2:56:26
453,Michael Gabrellian,M,2:56:27
454,Tim Mahony,M,2:56:35
455,Philip Clarke,M,2:56:35
456,Jean-Philippe Masson,M,2:56:38
457,Kei Namba,M,2:56:39
458,Jerry Williamson,M,2:56:39
459,Markus Lotz,M,2:56:40
460,Brent Williams,M,2:56:42
461,J Daniel Ferguson,M,2:56:42
462,Henri Romeo Patricio,M,2:56:42
463,Jason Degn,M,2:56:45
464,Rick Andrews,M,2:56:46
465,John Gignac,M,2:56:47
466,Nicholas Synan,M,2:56:48
467,John Spellman,M,2:56:49
468,Carl Jackson,M,2:56:49
469,Matt Collins,M,2:56:51
470,Masamichi Udagawa,M,2:56:57
471,Khris Vickroy,M,2:57:01
472,Kerri Gallagher,F,2:57:01
473,Ross Martinson,M,2:57:06
474,Richard Nelson,M,2:57:06
475,Ryan Briscoe,M,2:57:06
476,Matthieu Grigoresco,M,2:57:08
477,Vadim Yangirov,M,2:57:10
478,Kevin Griffee,M,2:57:12
479,Johnny Shea,M,2:57:12
480,Christopher Shim,M,2:57:14
481,Casey Gilbert,M,2:57:15
482,Finn Rigsbee,M,2:57:18
483,Zach Harner,M,2:57:21
484,Rich Power,M,2:57:22
485,Crescensiano Flores,M,2:57:23
486,Isaac Ick,M,2:57:24
487,Max Yuan,M,2:57:24
488,Aaron Perry,M,2:57:26
489,Aaron Lewis,M,2:57:28
490,Xana Bartlett,F,2:57:29
491,Hirak Parikh,M,2:57:31
492,Kyrk Jordan,M,2:57:32
493,Scott Bartucca,M,2:57:33
494,Laura Heintz,F,2:57:33
495,Matias Marquez,M,2:57:37
496,Christopher Lee,M,2:57:37
497,Matthew Roberts,M,2:57:40
498,Martin Daniel,M,2:57:44
499,Jun Zhang,M,2:57:45
500,Matt Lander,M,2:57:47
501,Amy Natalini,F,2:57:47
502,Tom Holtz,M,2:57:48
503,Jennifer Salvatore,F,2:57:48
504,Jeffrey Pellis,M,2:57:48
505,Vladimir Sobur,M,2:57:50
506,Harald Rodas,M,2:57:50
507,Jay Johnson,M,2:57:50
508,Gregg Baldinger,M,2:57:53
509,Paul Stanczuk,M,2:57:54
510,Breann Guzman,F,2:57:55
511,Pablo Ramos Amtmann,M,2:57:56
512,Dowen Thompson,M,2:57:58
513,Hong Gao,M,2:57:58
514,Xiaoyuan Wu,M,2:58:02
515,Erica Green,F,2:58:03
516,Lindsay Ritchings,F,2:58:04
517,Suresh Jatti,M,2:58:04
518,Hadley Riegel,F,2:58:09
519,Kevin Fitzgerald,M,2:58:10
520,Michael McKell,M,2:58:11
521,Tom Godfrey,M,2:58:13
522,Archimedes Stuk,M,2:58:13
523,Diego Desentis,M,2:58:14
524,Justin Warren,M,2:58:16
525,Chris Farley,M,2:58:20
526,Sarah Leinheiser,F,2:58:20
527,Masashi Hirano,M,2:58:24
528,Sean Ervine,M,2:58:27
529,Johnny Nuzzela,M,2:58:28
530,Daniel Kyvelos,M,2:58:28
531,Robert Lynn,M,2:58:29
532,Daniel Moncada,M,2:58:29
533,Christopher Baker,M,2:58:30
534,Benjamin Koopferstock,M,2:58:30
535,Sam Ghitelman,M,2:58:30
536,Mateusz Gacik,M,2:58:31
537,Tom Morgan,M,2:58:32
538,Robert Shavel,M,2:58:33
539,Melina Terranova,F,2:58:34
540,Sebastien Labranche,M,2:58:38
541,Benjamin Noble,M,2:58:39
542,James Allen,M,2:58:40
543,Jonathan Rosen,M,2:58:40
544,Patrick Foley,M,2:58:42
545,Hanna Longendyke,F,2:58:43
546,Clement Hamon,M,2:58:43
547,Kevin Prunty,M,2:58:44
548,Stephen Mohr,M,2:58:46
549,James Brillon,M,2:58:46
550,Brian Melinat,M,2:58:47
551,Andrew Cho,M,2:58:48
552,Ray Weng,M,2:58:49
553,Rodrigo Gomez Ruiz,M,2:58:50
554,Shannon McAndrew,F,2:58:51
555,Brian Levine,M,2:58:51
556,Thomas Piani,M,2:58:55
557,Christian Espinoza,M,2:58:55
558,Lukasz Zalewski,M,2:58:55
559,Hector Hernandez,M,2:58:56
560,Bryan Lamoreau,M,2:58:57
561,Christopher Calimano,M,2:58:57
562,Alec Wing,M,2:58:58
563,Robert Klein,M,2:58:58
564,Cody Angell,M,2:58:59
565,Zach Engle,M,2:58:59
566,Zachary Flicker,M,2:59:01
567,Joseph Metzger,M,2:59:01
568,Michael Lee,M,2:59:02
569,Joe Martinez,M,2:59:02
570,Adam Horn,M,2:59:03
571,Brieg Bevilacque,M,2:59:04
572,Emma Galgano,F,2:59:04
573,Elizabeth Goldson,F,2:59:04
574,Brad Weiss,M,2:59:07
575,Brigette Kolson,F,2:59:07
576,Joshua Ehinger,M,2:59:10
577,Collin Callahan,M,2:59:11
578,Felipe Vergara,M,2:59:12
579,Tao Liang,M,2:59:13
580,William Parker III,M,2:59:13
581,Philip Szkudlarski,M,2:59:14
582,Matt Mueller,M,2:59:14
583,Charles Birnbaum,M,2:59:15
584,Evan Seigerman,M,2:59:15
585,Geoffrey Lotaut,M,2:59:17
586,Youssef El MAAOUA,M,2:59:18
587,Carl Baglio,M,2:59:18
588,Matthew Greenfield,M,2:59:19
589,Noah Attrup,M,2:59:19
590,Erin Vali,M,2:59:20
591,Garri Faroyan,M,2:59:21
592,Michele Palmer,F,2:59:21
593,David Rosenberg,M,2:59:24
594,Bobby Liu,M,2:59:25
595,Eduardo Brandao,M,2:59:25
596,Justin Wood,M,2:59:26
597,Anthony Chan,M,2:59:26
